Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-06-23,440.87,451.188,440.87,451.188,61.832254880929
2022-06-24,450.25,464.321,450.25,464.321,197.22357160296
2022-06-27,455.879,478.391,455.879,474.639,908.29450273364
2022-06-28,472.763,474.639,469.011,474.639,97.012675761457
2022-06-29,472.763,484.019,464.321,484.019,90.616235601361
2022-06-30,484.019,484.019,463.382,464.321,27.717907360416
2022-07-01,470.887,478.391,470.887,478.391,147.11812368221
2022-07-04,480.267,480.267,466.197,478.391,39.444714320593
2022-07-05,476.515,476.515,467.135,467.135,14.925027040224
2022-07-06,474.639,474.639,454.941,454.941,156.71278392235
2022-07-07,454.941,458.693,452.127,452.127,12.792880320192
2022-07-08,457.755,459.631,448.374,449.313,97.012675761457
2022-07-11,454.941,454.941,454.941,454.941,11.726806960176
2022-07-12,449.313,454.941,448.374,450.25,155.64671056234
2022-07-13,454.941,459.631,450.25,450.25,60.766181520913
2022-07-14,458.693,458.693,452.127,456.816,37.312567600561
2022-07-15,457.755,457.755,454.941,454.941,2.132146720032
2022-07-18,457.755,460.568,451.188,460.568,163.10922408245
2022-07-19,454.941,454.941,450.25,450.25,21.32146720032
2022-07-20,454.941,454.941,440.87,440.87,276.11300024415
2022-07-21,441.808,443.684,439.933,443.684,23.453613920352
2022-07-22,440.87,444.622,440.87,444.622,53.303668000801
2022-07-25,445.56,448.374,445.56,445.56,18.123247120272
2022-07-26,445.56,448.374,442.747,442.747,61.832254880929
2022-07-27,442.747,445.56,442.747,445.56,110.87162944167
2022-07-28,442.747,448.374,442.747,443.684,46.907227840705
2022-07-29,443.684,445.56,442.747,442.747,75.691208561137
2022-08-01,441.808,448.374,441.808,448.374,70.360841761057
2022-08-02,445.56,445.56,445.56,445.56,6.3964401600961
2022-08-03,446.499,448.374,445.56,445.56,14.925027040224
2022-08-04,444.622,445.56,444.622,444.622,13.858953680208
2022-08-05,444.622,444.622,436.18,436.18,117.26806960176
2022-08-08,431.49,438.994,429.614,433.366,70.360841761057
2022-08-09,431.49,438.994,426.8,427.738,304.89698096458
2022-08-10,427.738,435.242,427.738,429.614,22.387540560336
2022-08-11,431.49,438.056,428.676,438.056,9.5946602401441
2022-08-12,433.366,438.994,431.49,438.994,24.519687280368
2022-08-16,429.614,442.747,429.614,442.747,1777.1442911467
2022-08-17,432.428,442.747,429.614,442.747,73.559061841105
2022-08-18,442.747,447.436,431.49,446.499,43.709007760657
2022-08-19,437.118,439.933,431.49,431.49,104.47518928157
2022-08-22,430.552,430.552,429.614,429.614,51.171521280769
2022-08-23,426.8,426.8,418.358,422.11,287.83980720432
2022-08-24,422.11,428.676,422.11,422.11,37.312567600561
2022-08-26,422.11,422.11,422.11,422.11,18.123247120272
2022-08-29,423.048,423.048,418.358,418.358,86.351942161297
2022-08-30,417.419,425.862,417.419,417.419,20.255393840304
2022-08-31,417.419,427.738,416.482,427.738,77.823355281169
2022-09-01,427.738,427.738,413.668,423.048,79.955502001201
2022-09-02,422.11,422.11,416.482,416.482,10.66073360016
